Restaurant_Name,Link
Bamboo Pan Asian,https://www.swiggy.com/restaurants/bamboo-pan-asian-ponnaiyarajapuram-coimbatore-411437
Banarasi chat & sweets,https://www.swiggy.com/restaurants/banarasi-chat-and-sweets-poo-market-r-s-puram-west-coimbatore-56870
Ban Gohan Restaurant,https://www.swiggy.com/restaurants/ban-gohan-restaurant-kavundampalayam-coimbatore-88194
Barbequeen Restaurant,https://www.swiggy.com/restaurants/barbequeen-restaurant-sai-baba-colony-coimbatore-436096
Barbeque Nation,https://www.swiggy.com/restaurants/barbeque-nation-fun-republic-mall-periyar-nagar-coimbatore-307773
Barbeque Nation,https://www.swiggy.com/restaurants/barbeque-nation-town-hall-coimbatore-307772
Baskin Robbins,https://www.swiggy.com/restaurants/baskin-robbins-prozone-mall-saravanampatti-coimbatore-67833
Baskin Robbins,https://www.swiggy.com/restaurants/baskin-robbins-rs-puram-r-s-puram-coimbatore-379905
Bawarchi Briyani House,https://www.swiggy.com/restaurants/bawarchi-briyani-house-saravanampatti-coimbatore-162186
Bbh Coffee shop,https://www.swiggy.com/restaurants/bbh-coffee-shop-ramanathapuram-coimbatore-433742
BBH Restaurant & Cafe,https://www.swiggy.com/restaurants/bbh-restaurant-and-cafe-ramanathapuram-puliakulam-coimbatore-162061
Beatles Cafe,https://www.swiggy.com/restaurants/beatles-cafe-near-sankara-hospital-saravanampatti-coimbatore-125760
Beef Point,https://www.swiggy.com/restaurants/beef-point-saravanampatti-coimbatore-113855
Behrouz Biryani,https://www.swiggy.com/restaurants/behrouz-biryani-mettupalayam-road-ranganathapuram-coimbatore-105002
Behrouz Biryani,https://www.swiggy.com/restaurants/behrouz-biryani-saravanamapatti-saravanampatti-coimbatore-194276
Belly Boy,https://www.swiggy.com/restaurants/belly-boy-peelamedu-sri-nagar-coimbatore-283664
BellyFull,https://www.swiggy.com/restaurants/bellyfull-venkatasamy-rd-rs-puram-cbe-r-s-puram-west-coimbatore-176707
Belly's Thickshake,https://www.swiggy.com/restaurants/bellys-thickshake-r-s-puram-r-s-puram-west-coimbatore-180180
Benny's Boom ice cream,https://www.swiggy.com/restaurants/bennys-boom-ice-cream-ramanathapuram-coimbatore-413141
Beyond Thickshake,https://www.swiggy.com/restaurants/beyond-thickshake-peelamedu-coimbatore-295747
Bhatija's Kitchen,https://www.swiggy.com/restaurants/bhatijas-kitchen-r-s-puram-r-s-puram-west-coimbatore-369132
Bhavana Restaurant,https://www.swiggy.com/restaurants/bhavana-restaurant-singanallur-ellammal-layout-coimbatore-131575
Bhuvaneswari Tiffin Stall,https://www.swiggy.com/restaurants/bhuvaneswari-tiffin-stall-gandhipuram-tatabad-coimbatore-368451
BIB -  English Breakfast in the Box,https://www.swiggy.com/restaurants/bib-english-breakfast-in-the-box-gandhipuram-illango-nagar-coimbatore-162029
Big Belly Deli,https://www.swiggy.com/restaurants/big-belly-deli-srp-nagar-saibaba-colony-coimbatore-50423
BIG CHIPS,https://www.swiggy.com/restaurants/big-chips-r-s-puram-coimbatore-401729
Big fat burger,https://www.swiggy.com/restaurants/big-fat-burger-hopes-coimbatore-398108
Big Fat burger,https://www.swiggy.com/restaurants/big-fat-burger-peelamedu-coimbatore-407205
Big Fat burger,https://www.swiggy.com/restaurants/big-fat-burger-ramanathapuram-coimbatore-412994
